sd,agb
38.53954575,106.611
36.78945045,35.5811
36.59543364,18.02119
36.6515586,25.9468
36.68959773,27.9445
38.1655342,87.8896
36.67289983,24.8078
44.90080939,15.283
36.79274983,36.2138
39.03121069,120.303
38.1655342,85.1825
38.97844458,123.216
37.91351263,78.5484
36.78821154,35.4059
46.29313145,59.0758
36.94071621,45.1857
37.13609164,53.9179
37.29500857,61.443
36.57250435,13.14945
36.93200799,39.9204
37.32771386,62.6565
36.58187967,15.28335
36.57250435,13.58426
36.78163283,32.835
37.72716175,69.9276
44.84506441,7.625
37.53023208,70.869
36.99142277,51.2748
36.78735258,33.9557
36.94314734,47.4751
36.56810904,12.29921
51.89748796,128.583
36.78877649,34.4462
36.82285354,16.49418
36.82285354,16.34306
36.69955562,29.3994
36.79560622,36.6084
36.69956774,27.1886
36.5842222,15.69297
36.62991765,23.3991
36.81566506,37.5206
38.1655342,87.1861
36.78686757,33.6404
38.1655342,86.793
36.82632312,17.08317
36.69955562,29.324
36.58187967,15.12588
36.72481747,27.528
36.90986232,38.5902
36.82632312,17.17837
38.32856561,97.6869
36.55231779,13.74941
36.74149178,31.6643
38.25057472,89.8449
36.59656953,18.63383
37.5645403,71.7907
36.59656953,18.46143
36.81355086,35.9992
38.14948231,82.3063
36.55290047,10.17555
37.11732306,49.5309
36.60278231,19.71358
36.75068867,32.1587
36.97554619,50.6159
36.5936722,17.74341
36.82195811,16.25416
36.64808801,25.0913
36.60795783,21.59304
36.60278231,19.59067
36.64808801,24.9886
36.90606448,41.1567
36.55124808,9.25162
36.62316779,23.1659
36.60385282,20.36883
36.60385282,20.45953
36.60385282,20.54609
36.6437782,24.8098
36.68959773,28.4243
36.92656409,44.8689
36.90613695,38.0681
36.63873486,22.4037
36.55095066,13.02319
36.59481192,17.7894
36.55124808,13.24644
36.82632312,17.2506
36.66748449,27.0208
36.82285354,16.3754
36.76351746,32.693
36.62705941,20.7792
36.58604478,15.96838
36.93453013,42.9782
36.63757804,24.3282
36.68959773,28.3988
38.27985843,88.8645
36.64127102,24.607
36.94071621,45.3254
36.68959773,28.3434
36.70368701,12.20493
38.19303043,85.6097
36.68639744,26.9332
36.93007596,46.2096
36.55124808,9.33647
36.92656409,44.7751
38.30448745,95.7697
36.78163283,33.1194
38.93725782,113.789
36.55463627,11.94702
36.93007596,43.4509
36.55231779,13.84499
36.55503577,15.9672
36.6486579,25.8125
36.92764397,42.1356
36.6184042,22.8144
38.675095,109.347
38.46422992,99.6364
37.11580537,48.9758
38.05251632,76.1558
36.55124808,13.44286
36.72169011,27.4908
104.8691452,685.977
36.77374064,30.6533
38.31418651,90.8214
37.5645403,71.8636
36.75135402,32.1032
36.84328071,40.6898
36.55041838,8.38841
38.46422992,99.2802
37.15005753,51.5019
38.65549082,107.587
39.05626461,132.057
38.29585567,93.0344
36.82927165,39.3036
36.79072163,36.0255
37.24439005,57.6737
37.14068576,54.9169
39.01662658,119.064
37.13609164,54.0583
37.13382112,53.5769
37.25977515,59.6264
39.37099983,143.165
39.03466911,132.322
36.73468419,28.0703
36.67187295,11.39358
36.55503577,15.8605
36.55503577,15.70612
36.94314734,48.1756
38.05025978,75.6199
36.90613695,38.05
36.93200799,39.7727
36.56803612,11.83108
36.55503577,15.43652
36.60578727,21.07455
36.90402235,41.6813
36.6437782,24.8076
36.67289983,24.0177
36.77710635,32.4987
37.12243329,51.1792
37.54823149,67.6037
36.67187295,11.17267
36.56810904,12.27188
36.60278231,19.72781
36.67289983,24.6799
37.18220333,52.9829
37.34472738,60.9386
37.23264375,54.1259
36.58958934,17.19675
37.27858184,57.3948
38.47398703,102.0067
36.68556036,27.1861
38.53877193,108.886
36.59122267,17.59153
38.2955859,91.8092
36.67159279,10.84536
37.21703901,53.3123
