PLOT_ID,POINT_X,POINT_Y,AGB_T_HA,AVG_YEAR,SIZE_HA
EU2,-2.951749952,41.93821821,203.0475219,2003,0.196
EU2,-4.332050375,40.42627092,42.6879245,2000,0.196
EU2,-6.355610784,37.74603941,10.12379342,2007,0.196
EU2,-1.726707851,41.66998036,41.90276708,2005,0.196
EU2,-1.088024063,42.54368872,48.30739419,2005,0.196
EU2,0.524923916,41.05595837,9.61935906,2000,0.196
EU2,-5.769436478,37.75217586,38.94535485,2007,0.196
EU2,-6.47244397,36.97363196,35.08580184,2007,0.196
EU2,-4.574761771,38.14369381,38.47386434,2006,0.196
EU2,-6.225002623,42.5080204,20.57142283,2002,0.196
EU2,-1.219747232,39.98782908,59.92901744,2003,0.196
EU2,-4.113637343,40.76189033,127.6945777,2003,0.196
EU2,-5.788306166,37.34625436,197.2430063,2007,0.196
EU2,1.504160827,41.42411696,67.18856806,2000,0.196
EU2,-5.310788973,40.43786974,90.14424381,2002,0.196
EU2,-2.885824877,38.18123339,27.48809119,2006,0.196
EU2,-2.803765133,42.98271775,26.43510451,2005,0.196
EU2,0.69129228,42.73448436,197.4531216,2001,0.196
EU2,-4.280845585,40.83221918,56.03610436,2004,0.196
EU2,-4.685303183,42.71834404,62.5825479,2003,0.196
EU2,0.82337683,41.02595723,25.2302557,2000,0.196
EU2,-3.937548536,43.3392254,59.56384192,2000,0.196
EU2,-6.215109655,41.06689593,21.40859235,2002,0.196
EU2,-2.246603435,40.33239346,39.87325502,2003,0.196
EU2,-3.270692969,43.1806688,185.4164992,2003,0.196
EU2,-2.520057686,38.24339385,37.86155979,2006,0.196
EU2,-0.796926997,40.02560272,5.915603305,2005,0.196
EU2,-7.241443404,37.71753448,36.94845239,2008,0.196
EU2,-3.183782614,42.91970421,35.67164747,2005,0.196
EU2,-5.027937849,40.04681846,93.35807924,2004,0.196
EU2,-3.249521493,40.95616582,50.21542622,2003,0.196
EU2,2.009690206,42.01501412,54.34668982,2001,0.196
EU2,2.455201182,42.17109886,64.83060961,2001,0.196
EU2,-6.413575923,38.03566409,45.40882225,2008,0.196
EU2,-5.374900341,37.12097729,22.41107105,2007,0.196
EU2,-2.635717031,37.96442382,26.96129393,2007,0.196
EU2,-2.806260064,38.04594203,44.39927791,2006,0.196
EU2,2.441587566,42.34214647,86.10029804,2001,0.196
EU2,-2.783014318,38.19911311,28.08899717,2006,0.196
EU2,-5.560724139,36.62145516,69.30243964,2007,0.196
EU2,-2.049589464,38.39372876,24.86998834,2004,0.196
EU2,-2.389535867,42.70210222,72.7981558,2005,0.196
EU2,-2.139522416,40.42173433,45.04289884,2003,0.196
